w1,w2,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,result
acacia,branch,38056.0,430.05465610282187,7996.420620092605,NaN,7391.810197779702,183.93405806404496,384.24619965449097,NaN,NaN,NaN,NaN,NaN,0.0,0.0,-6.060556080360738E-4,NaN,0.0,0.0,-0.0012128462683547697,NaN,NaN,NaN,NaN,NaN,False
acacia,connexion,38056.0,430.05465610282187,7996.420620092605,NaN,7391.810197779702,183.93405806404496,384.24619965449097,NaN,NaN,NaN,NaN,NaN,0.0,0.0,-6.060556080360738E-4,NaN,0.0,0.0,-0.0012128462683547697,NaN,NaN,NaN,NaN,NaN,False
acacia,spike,38056.0,430.05465610282187,7996.420620092605,NaN,7391.810197779702,183.93405806404496,384.24619965449097,NaN,NaN,NaN,NaN,NaN,0.0,0.0,-6.060556080360738E-4,NaN,0.0,0.0,-0.0012128462683547697,NaN,NaN,NaN,NaN,NaN,False
allig,chordat,57906.0,1289.5972527835818,11733.547323521252,NaN,9023.844191917322,124.35764682300633,476.95225859449016,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,True
ambul,acceler,2465972.0,73771.64551417824,133718.45432160512,NaN,187988.93831818935,12954.11846018632,1547.437496876302,NaN,0.725743723580744,0.6034174218699663,0.07849993689759585,NaN,0.20377439760135121,0.20930729886747415,0.033320918586854306,NaN,0.33855911540799244,0.3461606476095727,0.06449287532555384,NaN,NaN,NaN,NaN,NaN,False
ambul,ag,2.3143137E7,559854.7598197717,713600.5813000578,NaN,1456674.4066094523,33270.98321484058,3949.394607176706,NaN,0.9703710953022504,0.9845544799780132,0.09821134336079866,NaN,0.3081779500581751,0.33198482541743807,0.01743326816628067,NaN,0.4711560075515267,0.4984813927041503,0.03426911368388946,NaN,NaN,NaN,NaN,NaN,False
ambul,convey,158120.0,2752.147465589041,20214.475053108927,NaN,23162.987458443265,369.8276255191457,597.6678681853931,NaN,NaN,NaN,NaN,NaN,0.0,0.0,-6.122749430895101E-4,NaN,0.0,0.0,-0.0012253001067321371,NaN,NaN,NaN,NaN,NaN,True
ambul,crew,158120.0,2752.147465589041,20214.475053108927,NaN,23162.987458443265,369.8276255191457,597.6678681853931,NaN,NaN,NaN,NaN,NaN,0.0,0.0,-6.122749430895101E-4,NaN,0.0,0.0,-0.0012253001067321371,NaN,NaN,NaN,NaN,NaN,False
ambul,equat,158120.0,2752.147465589041,20214.475053108927,NaN,23162.987458443265,369.8276255191457,597.6678681853931,NaN,NaN,NaN,NaN,NaN,0.0,0.0,-6.122749430895101E-4,NaN,0.0,0.0,-0.0012253001067321371,NaN,NaN,NaN,NaN,NaN,False
ambul,ferri,158120.0,2752.147465589041,20214.475053108927,NaN,23162.987458443265,369.8276255191457,597.6678681853931,NaN,NaN,NaN,NaN,NaN,0.0,0.0,-6.122749430895101E-4,NaN,0.0,0.0,-0.0012253001067321371,NaN,NaN,NaN,NaN,NaN,False
ambul,graft,158120.0,2752.147465589041,20214.475053108927,NaN,23162.987458443265,369.8276255191457,597.6678681853931,NaN,NaN,NaN,NaN,NaN,0.0,0.0,-6.122749430895101E-4,NaN,0.0,0.0,-0.0012253001067321371,NaN,NaN,NaN,NaN,NaN,False
ambul,gum,158120.0,2752.147465589041,20214.475053108927,NaN,23162.987458443265,369.8276255191457,597.6678681853931,NaN,NaN,NaN,NaN,NaN,0.0,0.0,-6.122749430895101E-4,NaN,0.0,0.0,-0.0012253001067321371,NaN,NaN,NaN,NaN,NaN,False
ambul,mayor,158120.0,2752.147465589041,20214.475053108927,NaN,23162.987458443265,369.8276255191457,597.6678681853931,NaN,NaN,NaN,NaN,NaN,0.0,0.0,-6.122749430895101E-4,NaN,0.0,0.0,-0.0012253001067321371,NaN,NaN,NaN,NaN,NaN,False
